frame_idx,detection_ms,tracking_ms,face_ms,body_ms,db_lookup_ms,total_ms
103,254.609,0.696,0.000,0.000,0.000,262.555
104,203.522,1.012,0.000,0.000,0.000,212.285
105,193.871,0.402,0.000,0.000,0.000,200.324
106,206.165,0.433,0.000,0.000,0.000,213.452
107,193.022,0.446,0.000,0.000,0.000,200.557
108,218.001,0.994,0.000,0.000,0.000,227.432
109,237.387,0.459,0.000,0.000,0.000,244.176
110,189.573,0.388,0.000,0.000,0.000,197.013
111,220.683,0.395,0.000,0.000,0.000,230.901
112,215.744,0.425,0.000,0.000,0.000,222.954
113,195.998,0.398,0.000,0.000,0.000,203.171
114,252.590,0.846,0.000,0.000,0.000,259.865
115,210.862,0.438,0.000,0.000,0.000,218.093
116,191.346,0.402,0.000,0.000,0.000,197.751
117,213.525,0.504,0.000,0.000,0.000,224.438
118,200.387,0.593,0.000,0.000,0.000,207.348
119,241.963,0.575,0.000,0.000,0.000,249.527
120,193.289,0.417,0.000,0.000,0.000,201.136
